auction,price,dateTime
318,20900,2024-01-01T10:01:34
188,42371,2024-01-01T10:03:20
487,28915,2024-01-01T10:00:26
512,96828,2024-01-01T10:02:59
389,29783,2024-01-01T10:03:44
241,36214,2024-01-01T10:01:20
349,76830,2024-01-01T10:05:35
209,11906,2024-01-01T10:06:16
621,30491,2024-01-01T10:05:13
556,8788,2024-01-01T10:03:28
14,57180,2024-01-01T10:06:14
824,64605,2024-01-01T10:01:24
979,98956,2024-01-01T10:05:47
867,19138,2024-01-01T10:06:39
232,49012,2024-01-01T10:03:15
396,10121,2024-01-01T10:01:32
507,55422,2024-01-01T10:05:09
958,74335,2024-01-01T10:02:38
909,54467,2024-01-01T10:01:20
422,34783,2024-01-01T10:07:40
295,78015,2024-01-01T10:07:55
552,71600,2024-01-01T10:06:07
338,98551,2024-01-01T10:02:51
366,89017,2024-01-01T10:07:10
928,31782,2024-01-01T10:01:40
882,18181,2024-01-01T10:04:53
239,29941,2024-01-01T10:01:26
731,87371,2024-01-01T10:04:08
807,11162,2024-01-01T10:08:00
697,11640,2024-01-01T10:04:21
133,80011,2024-01-01T10:07:57
905,99212,2024-01-01T10:02:43
664,93185,2024-01-01T10:05:09
255,33604,2024-01-01T10:07:33
184,97723,2024-01-01T10:04:35
490,3354,2024-01-01T10:03:03
994,56015,2024-01-01T10:01:49
425,25522,2024-01-01T10:00:44
223,90944,2024-01-01T10:06:45
529,9113,2024-01-01T10:03:13
508,99093,2024-01-01T10:04:24
648,25318,2024-01-01T10:07:44
860,1448,2024-01-01T10:07:18
717,54194,2024-01-01T10:01:07
658,95351,2024-01-01T10:02:11
988,1442,2024-01-01T10:02:55
637,53141,2024-01-01T10:00:27
549,12058,2024-01-01T10:05:58
272,61296,2024-01-01T10:03:32
823,17198,2024-01-01T10:01:14
528,46540,2024-01-01T10:07:45
188,79428,2024-01-01T10:03:01
189,94288,2024-01-01T10:06:46
548,57752,2024-01-01T10:06:41
445,4396,2024-01-01T10:07:27
602,89569,2024-01-01T10:07:09
903,19089,2024-01-01T10:01:53
809,51172,2024-01-01T10:06:39
675,85131,2024-01-01T10:02:02
952,71585,2024-01-01T10:07:34
248,19865,2024-01-01T10:02:36
239,21203,2024-01-01T10:02:36
261,67552,2024-01-01T10:02:56
468,60230,2024-01-01T10:00:00
800,73076,2024-01-01T10:01:02
942,81086,2024-01-01T10:06:32
541,86837,2024-01-01T10:04:37
816,73083,2024-01-01T10:04:08
445,87625,2024-01-01T10:00:26
902,10244,2024-01-01T10:02:46
95,32955,2024-01-01T10:03:44
426,54573,2024-01-01T10:05:58
415,42787,2024-01-01T10:07:42
389,63484,2024-01-01T10:01:11
807,4212,2024-01-01T10:07:51
998,33116,2024-01-01T10:00:32
305,73683,2024-01-01T10:04:07
718,46080,2024-01-01T10:07:14
411,34561,2024-01-01T10:02:26
930,6649,2024-01-01T10:02:27
683,52314,2024-01-01T10:01:38
735,76071,2024-01-01T10:00:25
957,89922,2024-01-01T10:07:15
937,95748,2024-01-01T10:04:23
749,67994,2024-01-01T10:02:50
497,34751,2024-01-01T10:00:57
320,5172,2024-01-01T10:07:04
414,27567,2024-01-01T10:03:48
48,90853,2024-01-01T10:06:52
897,14404,2024-01-01T10:00:48
409,36353,2024-01-01T10:04:56
42,23590,2024-01-01T10:03:15
482,94052,2024-01-01T10:03:51
881,47700,2024-01-01T10:02:25
62,86930,2024-01-01T10:04:56
746,40669,2024-01-01T10:01:20
695,70488,2024-01-01T10:05:06
2,22222,2024-01-01T10:01:08
300,45054,2024-01-01T10:07:59
121,47007,2024-01-01T10:05:28
666,55875,2024-01-01T10:05:02
39,8041,2024-01-01T10:04:57
342,87762,2024-01-01T10:03:39
867,48786,2024-01-01T10:06:59
616,39496,2024-01-01T10:07:49
264,2473,2024-01-01T10:02:19
701,1591,2024-01-01T10:01:44
746,76121,2024-01-01T10:06:49
300,72762,2024-01-01T10:06:24
106,71869,2024-01-01T10:03:48
12,11851,2024-01-01T10:02:48
109,40077,2024-01-01T10:00:24
466,21328,2024-01-01T10:07:08
449,89937,2024-01-01T10:02:24
236,37447,2024-01-01T10:06:36
620,85503,2024-01-01T10:06:05
792,18226,2024-01-01T10:03:37
983,14246,2024-01-01T10:02:39
973,78099,2024-01-01T10:06:24
955,783,2024-01-01T10:02:45
184,39221,2024-01-01T10:06:01
33,75879,2024-01-01T10:05:24
207,67728,2024-01-01T10:02:44
140,35343,2024-01-01T10:04:37
747,1764,2024-01-01T10:07:27
518,90919,2024-01-01T10:07:02
636,86310,2024-01-01T10:03:56
590,43195,2024-01-01T10:02:12
275,62716,2024-01-01T10:00:54
815,18012,2024-01-01T10:05:38
346,39317,2024-01-01T10:01:01
695,5477,2024-01-01T10:02:28
466,69370,2024-01-01T10:03:42
133,95824,2024-01-01T10:00:37
28,69964,2024-01-01T10:02:41
681,61252,2024-01-01T10:06:41
689,59910,2024-01-01T10:02:46
678,10961,2024-01-01T10:01:31
948,79716,2024-01-01T10:00:13
218,4093,2024-01-01T10:03:44
689,66498,2024-01-01T10:06:34
381,56123,2024-01-01T10:00:59
816,9555,2024-01-01T10:05:45
742,2987,2024-01-01T10:02:46
616,50882,2024-01-01T10:01:31
505,60149,2024-01-01T10:07:50
292,63143,2024-01-01T10:06:51
710,29321,2024-01-01T10:03:00
354,64522,2024-01-01T10:02:43
65,12149,2024-01-01T10:01:07
168,12769,2024-01-01T10:01:31
764,4910,2024-01-01T10:07:00
509,50653,2024-01-01T10:02:19
678,9707,2024-01-01T10:07:25
363,8757,2024-01-01T10:02:17
339,12407,2024-01-01T10:00:00
466,66751,2024-01-01T10:05:26
708,41056,2024-01-01T10:00:39
880,71391,2024-01-01T10:05:54
779,11198,2024-01-01T10:04:23
785,76049,2024-01-01T10:03:59
156,5943,2024-01-01T10:06:34
205,5894,2024-01-01T10:00:41
383,29974,2024-01-01T10:00:03
65,52748,2024-01-01T10:03:37
426,59330,2024-01-01T10:03:45
959,27175,2024-01-01T10:07:04
831,81311,2024-01-01T10:00:36
78,84689,2024-01-01T10:03:53
319,20334,2024-01-01T10:04:32
907,91810,2024-01-01T10:01:33
708,44730,2024-01-01T10:06:49
331,92728,2024-01-01T10:02:43
760,60960,2024-01-01T10:02:16
853,35073,2024-01-01T10:04:51
491,74425,2024-01-01T10:05:03
614,91890,2024-01-01T10:00:00
18,77462,2024-01-01T10:04:01
259,48038,2024-01-01T10:05:07
685,19010,2024-01-01T10:05:48
972,79729,2024-01-01T10:01:14
314,76378,2024-01-01T10:07:05
421,3989,2024-01-01T10:00:10
863,12980,2024-01-01T10:05:19
7,5498,2024-01-01T10:03:01
338,44134,2024-01-01T10:05:37
174,45428,2024-01-01T10:02:39
26,62997,2024-01-01T10:05:18
317,32481,2024-01-01T10:04:37
134,98828,2024-01-01T10:00:59
907,91490,2024-01-01T10:04:39
689,46094,2024-01-01T10:02:47
147,96313,2024-01-01T10:04:30
504,76415,2024-01-01T10:06:01
729,4679,2024-01-01T10:02:40
862,86880,2024-01-01T10:02:07
90,24504,2024-01-01T10:00:44
734,48847,2024-01-01T10:00:32
104,55053,2024-01-01T10:07:10
206,53463,2024-01-01T10:06:03
840,24768,2024-01-01T10:07:00
741,13222,2024-01-01T10:01:26
824,72492,2024-01-01T10:00:36
200,85053,2024-01-01T10:05:17
224,38256,2024-01-01T10:05:33
426,73493,2024-01-01T10:06:30
533,39356,2024-01-01T10:01:30
693,53329,2024-01-01T10:04:50
686,72394,2024-01-01T10:07:48
497,85423,2024-01-01T10:07:38
882,86400,2024-01-01T10:01:46
288,79819,2024-01-01T10:04:16
755,31504,2024-01-01T10:01:57
979,32276,2024-01-01T10:05:10
492,45156,2024-01-01T10:06:06
818,21953,2024-01-01T10:00:14
23,62775,2024-01-01T10:05:43
905,71704,2024-01-01T10:03:10
234,5290,2024-01-01T10:01:33
512,5626,2024-01-01T10:00:07
98,96551,2024-01-01T10:06:25
916,93230,2024-01-01T10:01:26
302,91611,2024-01-01T10:03:38
92,9209,2024-01-01T10:02:01
894,57099,2024-01-01T10:07:08
472,58681,2024-01-01T10:03:07
982,76752,2024-01-01T10:02:47
438,9343,2024-01-01T10:04:58
170,24868,2024-01-01T10:04:28
672,57226,2024-01-01T10:03:23
621,78671,2024-01-01T10:06:46
819,50496,2024-01-01T10:05:02
681,90239,2024-01-01T10:02:31
277,79560,2024-01-01T10:01:19
169,33283,2024-01-01T10:00:04
253,73186,2024-01-01T10:01:42
412,58716,2024-01-01T10:01:27
690,10811,2024-01-01T10:06:38
742,15092,2024-01-01T10:02:36
383,79434,2024-01-01T10:06:37
632,80092,2024-01-01T10:00:49
518,60962,2024-01-01T10:04:22
547,15877,2024-01-01T10:05:17
941,54044,2024-01-01T10:03:16
3,30759,2024-01-01T10:00:39
79,45299,2024-01-01T10:00:47
570,24432,2024-01-01T10:03:56
479,80113,2024-01-01T10:04:50
382,40147,2024-01-01T10:07:10
623,58194,2024-01-01T10:06:59
162,89578,2024-01-01T10:05:58
195,10659,2024-01-01T10:03:33
205,93696,2024-01-01T10:02:45
434,71768,2024-01-01T10:06:36
611,89352,2024-01-01T10:05:04
301,9554,2024-01-01T10:05:29
102,64840,2024-01-01T10:03:26
288,40551,2024-01-01T10:02:18
595,13143,2024-01-01T10:03:49
990,9659,2024-01-01T10:05:02
793,17505,2024-01-01T10:04:39
290,75006,2024-01-01T10:03:46
810,20394,2024-01-01T10:02:46
932,59994,2024-01-01T10:06:06
586,22790,2024-01-01T10:05:52
411,93344,2024-01-01T10:04:58
444,99392,2024-01-01T10:01:08
816,91266,2024-01-01T10:05:54
211,63095,2024-01-01T10:03:21
132,16695,2024-01-01T10:02:57
215,73849,2024-01-01T10:05:15
563,72538,2024-01-01T10:05:51
391,81080,2024-01-01T10:01:30
758,13818,2024-01-01T10:02:55
896,66009,2024-01-01T10:02:25
162,26303,2024-01-01T10:01:52
224,94922,2024-01-01T10:02:17
721,65466,2024-01-01T10:00:13
944,11687,2024-01-01T10:03:30
592,74562,2024-01-01T10:04:45
276,50697,2024-01-01T10:05:45
581,76789,2024-01-01T10:06:15
958,33640,2024-01-01T10:01:52
571,19338,2024-01-01T10:01:48
254,11868,2024-01-01T10:02:08
178,90810,2024-01-01T10:07:05
888,90504,2024-01-01T10:00:56
739,20385,2024-01-01T10:00:32
779,42524,2024-01-01T10:02:51
511,32450,2024-01-01T10:05:29
269,85168,2024-01-01T10:07:37
467,96369,2024-01-01T10:01:23
655,78625,2024-01-01T10:03:36
906,13296,2024-01-01T10:07:31
525,60978,2024-01-01T10:01:41
473,53338,2024-01-01T10:00:25
970,1126,2024-01-01T10:03:00
619,87031,2024-01-01T10:04:03
482,49921,2024-01-01T10:00:26
662,70546,2024-01-01T10:07:19
805,46808,2024-01-01T10:03:54
228,14177,2024-01-01T10:04:07
844,30048,2024-01-01T10:05:54
54,8795,2024-01-01T10:06:10
543,32522,2024-01-01T10:00:35
476,54070,2024-01-01T10:00:37
74,33522,2024-01-01T10:03:08
132,54030,2024-01-01T10:00:51
465,85357,2024-01-01T10:04:57
828,84166,2024-01-01T10:06:35
264,74397,2024-01-01T10:01:44
28,21382,2024-01-01T10:00:41
783,91711,2024-01-01T10:00:24
507,18394,2024-01-01T10:01:56
644,13516,2024-01-01T10:07:01
96,73336,2024-01-01T10:00:15
448,65542,2024-01-01T10:01:28
908,60026,2024-01-01T10:04:51
843,91940,2024-01-01T10:02:19
165,76024,2024-01-01T10:05:38
169,10292,2024-01-01T10:05:22
118,22251,2024-01-01T10:01:15
834,18872,2024-01-01T10:05:45
986,12587,2024-01-01T10:07:56
787,72422,2024-01-01T10:00:24
368,12404,2024-01-01T10:06:29
714,13123,2024-01-01T10:07:14
143,77928,2024-01-01T10:07:15
977,81406,2024-01-01T10:04:11
367,63395,2024-01-01T10:02:26
347,66360,2024-01-01T10:04:10
344,73582,2024-01-01T10:03:53
552,32539,2024-01-01T10:00:09
266,78296,2024-01-01T10:01:21
349,91772,2024-01-01T10:07:40
473,3052,2024-01-01T10:02:55
762,8841,2024-01-01T10:07:37
305,3057,2024-01-01T10:04:05
346,75597,2024-01-01T10:00:49
87,73531,2024-01-01T10:05:47
177,71803,2024-01-01T10:06:38
303,91689,2024-01-01T10:07:47
686,35231,2024-01-01T10:07:45
222,63324,2024-01-01T10:05:01
283,53381,2024-01-01T10:02:59
687,85706,2024-01-01T10:05:34
456,36778,2024-01-01T10:01:01
996,22421,2024-01-01T10:05:09
697,37324,2024-01-01T10:06:59
346,98595,2024-01-01T10:00:51
364,34277,2024-01-01T10:05:06
602,91167,2024-01-01T10:07:36
970,49227,2024-01-01T10:04:11
906,18788,2024-01-01T10:06:33
755,39649,2024-01-01T10:02:27
872,94695,2024-01-01T10:05:27
604,30171,2024-01-01T10:01:44
186,61299,2024-01-01T10:02:31
763,44570,2024-01-01T10:00:08
757,13074,2024-01-01T10:06:48
850,70143,2024-01-01T10:06:48
961,84998,2024-01-01T10:01:09
855,53258,2024-01-01T10:00:49
956,14159,2024-01-01T10:06:43
776,2113,2024-01-01T10:04:59
120,30265,2024-01-01T10:06:29
289,80408,2024-01-01T10:01:04
909,15849,2024-01-01T10:01:28
477,6176,2024-01-01T10:00:59
757,43148,2024-01-01T10:07:04
59,22841,2024-01-01T10:06:23
92,54645,2024-01-01T10:05:44
114,61097,2024-01-01T10:03:27
920,86009,2024-01-01T10:07:42
263,24574,2024-01-01T10:01:18
533,17702,2024-01-01T10:01:05
410,40101,2024-01-01T10:07:56
774,50139,2024-01-01T10:07:22
828,10159,2024-01-01T10:06:42
308,95856,2024-01-01T10:02:27
478,29715,2024-01-01T10:00:19
419,55676,2024-01-01T10:07:18
185,22459,2024-01-01T10:05:12
401,7278,2024-01-01T10:00:45
446,54394,2024-01-01T10:00:01
364,18937,2024-01-01T10:01:10
926,56146,2024-01-01T10:07:32
481,98378,2024-01-01T10:04:34
616,72953,2024-01-01T10:01:09
160,87244,2024-01-01T10:04:04
360,30180,2024-01-01T10:05:42
322,99086,2024-01-01T10:07:53
376,4588,2024-01-01T10:07:11
430,59319,2024-01-01T10:05:06
637,48082,2024-01-01T10:00:47
926,88718,2024-01-01T10:00:39
573,44659,2024-01-01T10:02:23
514,28847,2024-01-01T10:07:31
49,59468,2024-01-01T10:01:57
473,12705,2024-01-01T10:03:26
189,65359,2024-01-01T10:00:04
745,56771,2024-01-01T10:00:18
763,22831,2024-01-01T10:02:43
107,29994,2024-01-01T10:04:03
561,96111,2024-01-01T10:02:31
522,75305,2024-01-01T10:02:09
936,40673,2024-01-01T10:01:24
100,79805,2024-01-01T10:05:21
715,94467,2024-01-01T10:06:24
722,25175,2024-01-01T10:04:33
85,1226,2024-01-01T10:05:10
50,54128,2024-01-01T10:01:37
215,44284,2024-01-01T10:04:35
63,66458,2024-01-01T10:02:30
160,48740,2024-01-01T10:06:06
655,18871,2024-01-01T10:01:22
700,2459,2024-01-01T10:02:30
717,42426,2024-01-01T10:00:37
940,73104,2024-01-01T10:07:11
740,21176,2024-01-01T10:07:53
896,81980,2024-01-01T10:05:56
44,14187,2024-01-01T10:04:13
133,39558,2024-01-01T10:05:41
988,23335,2024-01-01T10:06:53
988,40852,2024-01-01T10:00:09
617,35228,2024-01-01T10:04:49
668,79751,2024-01-01T10:07:37
796,39108,2024-01-01T10:05:07
512,36345,2024-01-01T10:03:36
663,12754,2024-01-01T10:02:30
681,42757,2024-01-01T10:07:26
902,57906,2024-01-01T10:02:20
381,55026,2024-01-01T10:07:28
474,65518,2024-01-01T10:01:50
762,34589,2024-01-01T10:04:24
886,6021,2024-01-01T10:06:24
393,61377,2024-01-01T10:03:50
20,98475,2024-01-01T10:03:20
553,3927,2024-01-01T10:02:02
1,29583,2024-01-01T10:02:47
739,43112,2024-01-01T10:03:37
456,72034,2024-01-01T10:04:33
914,99125,2024-01-01T10:06:41
55,23299,2024-01-01T10:00:31
512,56828,2024-01-01T10:06:30
829,16014,2024-01-01T10:00:15
416,29684,2024-01-01T10:06:41
653,17864,2024-01-01T10:02:45
750,36038,2024-01-01T10:00:44
91,39716,2024-01-01T10:02:45
547,10398,2024-01-01T10:02:32
488,76638,2024-01-01T10:06:39
641,42643,2024-01-01T10:06:07
864,38881,2024-01-01T10:07:33
358,92562,2024-01-01T10:04:33
273,8118,2024-01-01T10:05:22
535,9627,2024-01-01T10:01:45
50,46080,2024-01-01T10:04:39
999,91486,2024-01-01T10:04:00
575,60440,2024-01-01T10:06:41
540,18716,2024-01-01T10:06:25
911,34210,2024-01-01T10:07:31
617,60467,2024-01-01T10:06:50
592,13920,2024-01-01T10:04:37
479,78656,2024-01-01T10:04:56
524,57352,2024-01-01T10:04:17
141,32268,2024-01-01T10:03:36
955,18233,2024-01-01T10:04:30
912,24002,2024-01-01T10:07:02
542,20522,2024-01-01T10:04:53
6,69915,2024-01-01T10:01:20
643,7493,2024-01-01T10:05:47
5,30604,2024-01-01T10:01:51
747,87035,2024-01-01T10:02:10
324,75485,2024-01-01T10:01:39
953,53067,2024-01-01T10:04:19
698,8115,2024-01-01T10:04:42
237,680,2024-01-01T10:05:10
249,52401,2024-01-01T10:05:05
707,58587,2024-01-01T10:06:57
356,28497,2024-01-01T10:07:21
297,67132,2024-01-01T10:03:59
750,85532,2024-01-01T10:07:51
508,23393,2024-01-01T10:04:33
919,16558,2024-01-01T10:07:56
586,84714,2024-01-01T10:05:28
515,27778,2024-01-01T10:01:30
173,6299,2024-01-01T10:07:07
553,55668,2024-01-01T10:00:37
730,59959,2024-01-01T10:04:02
971,45201,2024-01-01T10:05:28
298,78022,2024-01-01T10:07:36
383,41355,2024-01-01T10:05:07
876,64033,2024-01-01T10:05:17
807,98581,2024-01-01T10:00:16
261,26661,2024-01-01T10:04:04
74,83188,2024-01-01T10:05:50
965,2643,2024-01-01T10:04:44
330,64799,2024-01-01T10:05:51
963,26467,2024-01-01T10:03:11
266,99657,2024-01-01T10:01:38
264,92128,2024-01-01T10:06:23
760,35112,2024-01-01T10:01:36
679,62391,2024-01-01T10:07:17
697,50055,2024-01-01T10:00:11
953,29198,2024-01-01T10:07:47
899,9730,2024-01-01T10:07:47
431,14914,2024-01-01T10:07:45
271,74048,2024-01-01T10:04:58
16,33156,2024-01-01T10:07:58
686,8585,2024-01-01T10:07:02
205,17284,2024-01-01T10:07:38
806,99139,2024-01-01T10:07:11
875,78386,2024-01-01T10:03:45
51,19215,2024-01-01T10:02:46
382,52578,2024-01-01T10:02:47
2,1057,2024-01-01T10:02:01
568,86626,2024-01-01T10:05:10
29,93383,2024-01-01T10:01:34
996,60050,2024-01-01T10:05:09
768,6650,2024-01-01T10:07:32
40,83560,2024-01-01T10:01:51
777,91021,2024-01-01T10:06:51
398,45189,2024-01-01T10:04:06
692,92895,2024-01-01T10:02:43
118,87512,2024-01-01T10:00:37
786,86792,2024-01-01T10:01:36
529,58889,2024-01-01T10:07:05
708,31643,2024-01-01T10:00:07
429,589,2024-01-01T10:04:07
567,26663,2024-01-01T10:06:47
427,86880,2024-01-01T10:01:15
629,30775,2024-01-01T10:07:03
216,82856,2024-01-01T10:07:42
6,14179,2024-01-01T10:04:19
827,61737,2024-01-01T10:06:45
259,52978,2024-01-01T10:04:07
763,72673,2024-01-01T10:00:26
609,25708,2024-01-01T10:00:10
861,52584,2024-01-01T10:06:42
325,56967,2024-01-01T10:02:37
198,39923,2024-01-01T10:02:44
331,894,2024-01-01T10:05:43
539,10472,2024-01-01T10:04:58
119,20791,2024-01-01T10:07:46
141,47476,2024-01-01T10:03:10
465,92285,2024-01-01T10:03:04
679,95856,2024-01-01T10:02:10
273,40826,2024-01-01T10:03:57
817,58458,2024-01-01T10:02:38
64,7415,2024-01-01T10:05:01
920,69569,2024-01-01T10:01:17
592,17276,2024-01-01T10:00:35
456,92017,2024-01-01T10:01:06
238,83379,2024-01-01T10:07:10
959,19052,2024-01-01T10:00:06
798,82358,2024-01-01T10:02:21
266,81274,2024-01-01T10:03:11
446,5443,2024-01-01T10:06:49
28,7403,2024-01-01T10:03:26
673,54002,2024-01-01T10:04:22
754,41901,2024-01-01T10:05:55
161,50315,2024-01-01T10:07:15
24,86001,2024-01-01T10:02:22
805,57069,2024-01-01T10:06:40
196,5051,2024-01-01T10:00:34
981,63559,2024-01-01T10:07:19
13,55555,2024-01-01T10:01:42
127,67344,2024-01-01T10:03:33
234,24637,2024-01-01T10:07:03
644,5057,2024-01-01T10:05:02
456,984,2024-01-01T10:05:06
948,70650,2024-01-01T10:04:57
257,62355,2024-01-01T10:02:45
30,41744,2024-01-01T10:04:48
258,11561,2024-01-01T10:05:02
61,12378,2024-01-01T10:06:00
867,1199,2024-01-01T10:05:06
314,18300,2024-01-01T10:06:30
794,30316,2024-01-01T10:07:00
401,27395,2024-01-01T10:04:05
561,64764,2024-01-01T10:03:32
998,20872,2024-01-01T10:01:28
402,80005,2024-01-01T10:05:47
75,11392,2024-01-01T10:07:13
314,82534,2024-01-01T10:04:57
589,87782,2024-01-01T10:05:46
533,18558,2024-01-01T10:05:41
288,8478,2024-01-01T10:03:51
640,99559,2024-01-01T10:06:16
148,21029,2024-01-01T10:01:56
517,40070,2024-01-01T10:05:35
434,33431,2024-01-01T10:04:38
235,91216,2024-01-01T10:05:49
792,85215,2024-01-01T10:05:01
185,54144,2024-01-01T10:05:40
570,53146,2024-01-01T10:00:09
819,55066,2024-01-01T10:02:24
99,47956,2024-01-01T10:03:54
27,23196,2024-01-01T10:01:44
751,45058,2024-01-01T10:07:29
624,39662,2024-01-01T10:04:06
898,91738,2024-01-01T10:04:21
625,61057,2024-01-01T10:06:02
275,99982,2024-01-01T10:05:42
7,43443,2024-01-01T10:07:17
581,93559,2024-01-01T10:01:46
961,12442,2024-01-01T10:02:27
29,22634,2024-01-01T10:04:27
728,84313,2024-01-01T10:06:14
18,63205,2024-01-01T10:01:14
687,67539,2024-01-01T10:03:51
984,36922,2024-01-01T10:02:59
117,86894,2024-01-01T10:07:05
519,4834,2024-01-01T10:00:16
142,19111,2024-01-01T10:00:30
494,50218,2024-01-01T10:04:29
581,49533,2024-01-01T10:01:20
959,74015,2024-01-01T10:04:53
215,79459,2024-01-01T10:03:39
479,45932,2024-01-01T10:06:22
519,31793,2024-01-01T10:06:02
951,5115,2024-01-01T10:02:40
143,45164,2024-01-01T10:04:24
273,82559,2024-01-01T10:07:01
115,89241,2024-01-01T10:03:35
762,41118,2024-01-01T10:04:04
529,14493,2024-01-01T10:02:55
673,75696,2024-01-01T10:02:48
542,65333,2024-01-01T10:03:37
238,75571,2024-01-01T10:07:49
437,88722,2024-01-01T10:03:27
307,69186,2024-01-01T10:03:07
793,74199,2024-01-01T10:00:03
528,28096,2024-01-01T10:05:48
40,28970,2024-01-01T10:02:46
237,18483,2024-01-01T10:02:46
460,62682,2024-01-01T10:03:59
286,87306,2024-01-01T10:00:20
423,26332,2024-01-01T10:04:28
702,86199,2024-01-01T10:05:08
927,68337,2024-01-01T10:05:52
38,39309,2024-01-01T10:01:59
305,33207,2024-01-01T10:00:13
276,4083,2024-01-01T10:05:42
378,76287,2024-01-01T10:04:16
471,94245,2024-01-01T10:06:43
828,20487,2024-01-01T10:05:55
936,46988,2024-01-01T10:01:22
287,82467,2024-01-01T10:02:05
869,60290,2024-01-01T10:04:38
582,61633,2024-01-01T10:04:28
52,36866,2024-01-01T10:05:21
878,31177,2024-01-01T10:00:21
522,31488,2024-01-01T10:01:31
454,77844,2024-01-01T10:00:32
870,23030,2024-01-01T10:00:41
374,97984,2024-01-01T10:04:30
699,88633,2024-01-01T10:00:42
944,17289,2024-01-01T10:00:01
306,54376,2024-01-01T10:01:48
519,19557,2024-01-01T10:00:53
577,54508,2024-01-01T10:04:28
100,48593,2024-01-01T10:03:32
87,10712,2024-01-01T10:06:17
619,81428,2024-01-01T10:04:56
553,34278,2024-01-01T10:01:18
740,66975,2024-01-01T10:03:38
989,33188,2024-01-01T10:01:31
4,55685,2024-01-01T10:07:53
277,17723,2024-01-01T10:03:04
567,55415,2024-01-01T10:04:11
374,87242,2024-01-01T10:06:20
683,66313,2024-01-01T10:02:57
84,15473,2024-01-01T10:06:31
459,98497,2024-01-01T10:00:21
452,27659,2024-01-01T10:07:45
975,55259,2024-01-01T10:00:48
360,78390,2024-01-01T10:03:04
78,87551,2024-01-01T10:07:06
963,20808,2024-01-01T10:02:14
964,58118,2024-01-01T10:06:22
51,73671,2024-01-01T10:01:20
122,72522,2024-01-01T10:06:03
119,34963,2024-01-01T10:05:35
542,32135,2024-01-01T10:06:16
927,76528,2024-01-01T10:04:51
515,15999,2024-01-01T10:04:50
255,71962,2024-01-01T10:00:21
747,7928,2024-01-01T10:06:28
667,92166,2024-01-01T10:00:17
264,18841,2024-01-01T10:07:55
636,71104,2024-01-01T10:05:42
4,23133,2024-01-01T10:00:41
681,70957,2024-01-01T10:07:16
722,89464,2024-01-01T10:02:03
216,59823,2024-01-01T10:04:37
