| +I |                    1 |                90174 |                 5670 |                       FaceBook |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra6 |                         Item A |                  Description D |                 6225 |                 4073 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2622 |                   25 |                 auction_extra2 |
| +I |                   18 |                91271 |                 4486 |                          aPpLe |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra3 |                         Item E |                  Description D |                 7769 |                 4185 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5093 |                   10 |                auction_extra10 |
| +I |                   19 |                63656 |                 9237 |                         google |        http://google.com/track | 2025-04-13 01:15:01.000 |                        extra10 |                         Item E |                  Description A |                 2492 |                 3791 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1566 |                   10 |                 auction_extra8 |
| +I |                   20 |                57900 |                 4391 |                       facebook |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra8 |                         Item C |                  Description D |                 6104 |                 1926 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2497 |                   20 |                auction_extra10 |
| +I |                   21 |                38145 |                 5107 |                       FaceBook |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra2 |                         Item A |                  Description E |                 2885 |                 1712 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1497 |                    5 |                 auction_extra5 |
| +I |                   22 |                92836 |                 9462 |                         google |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra4 |                         Item B |                  Description B |                 7704 |                 5731 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4668 |                    5 |                 auction_extra2 |
| +I |                   23 |                54370 |                 7118 |                          baidu |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra8 |                         Item A |                  Description B |                 3879 |                 1964 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6448 |                   15 |                 auction_extra7 |
| +I |                   24 |                31228 |                 4637 |                          Apple |        http://google.com/track | 2025-04-13 01:15:01.000 |                        extra10 |                         Item D |                  Description B |                 5768 |                 2432 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2981 |                   20 |                 auction_extra5 |
| +I |                   25 |                82447 |                 8639 |                          aPpLe |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                        extra10 |                         Item D |                  Description D |                 2682 |                 1824 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1232 |                   20 |                 auction_extra7 |
| +I |                   26 |                94200 |                 5672 |                         google |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra1 |                         Item E |                  Description D |                 2704 |                 6787 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9202 |                   25 |                 auction_extra9 |
| +I |                   27 |                22558 |                 5224 |                          Apple |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra1 |                         Item C |                  Description B |                 3767 |                 3126 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 3092 |                   15 |                 auction_extra7 |
| +I |                   28 |                52112 |                 6669 |                       FaceBook |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra9 |                         Item B |                  Description E |                 5577 |                 6601 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1361 |                   25 |                 auction_extra2 |
| +I |                   29 |                10404 |                 3962 |                          Apple |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra4 |                         Item A |                  Description C |                 4268 |                 5024 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7601 |                   25 |                auction_extra10 |
| +I |                   30 |                83486 |                 9977 |                         google |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra7 |                         Item B |                  Description E |                 6122 |                 1938 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6730 |                   15 |                 auction_extra4 |
| +I |                   31 |                52196 |                 1458 |                          baidu |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                        extra10 |                         Item A |                  Description E |                 4429 |                 5025 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1048 |                    5 |                 auction_extra4 |
| +I |                   32 |                96197 |                 7013 |                       FaceBook | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra4 |                         Item C |                  Description D |                 6991 |                 4317 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7169 |                   25 |                auction_extra10 |
| +I |                   33 |                49420 |                 3222 |                          aPpLe |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra4 |                         Item B |                  Description A |                 6354 |                 5865 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4929 |                   20 |                auction_extra10 |
| +I |                   34 |                25127 |                 6255 |                       FaceBook |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra5 |                         Item B |                  Description A |                 2795 |                 5954 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7973 |                    5 |                 auction_extra6 |
| +I |                   35 |                58033 |                 4445 |                       facebook | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra7 |                         Item E |                  Description E |                 2975 |                 1538 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6105 |                   20 |                 auction_extra7 |
| +I |                   36 |                89210 |                 8621 |                         google |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra7 |                         Item B |                  Description D |                 5183 |                 6416 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6453 |                    5 |                 auction_extra3 |
| +I |                   37 |                47475 |                 4684 |                          aPpLe |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                        extra10 |                         Item A |                  Description C |                 3650 |                 5694 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1323 |                   20 |                 auction_extra4 |
| +I |                   38 |                32668 |                 3404 |                         google | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra6 |                         Item B |                  Description B |                 4358 |                 4159 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 3629 |                   15 |                 auction_extra9 |
| +I |                   39 |                64623 |                 1422 |                          Apple |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra1 |                         Item E |                  Description D |                 2280 |                 6499 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 3799 |                   20 |                 auction_extra7 |
| +I |                   40 |                87586 |                 2784 |                          baidu |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra7 |                         Item D |                  Description A |                 2643 |                 1507 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 8753 |                   15 |                 auction_extra8 |
| +I |                   41 |                99917 |                 4790 |                       FaceBook |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra8 |                         Item A |                  Description B |                 5369 |                 3596 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 3290 |                   20 |                 auction_extra2 |
| +I |                   42 |                39729 |                 5305 |                          Apple |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra7 |                         Item A |                  Description E |                 6993 |                 5309 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 3411 |                   25 |                auction_extra10 |
| +I |                   43 |                29392 |                 7641 |                          Apple |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra1 |                         Item B |                  Description D |                 3236 |                 5369 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6922 |                   20 |                 auction_extra5 |
| +I |                   44 |                99173 |                 4059 |                       FaceBook |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra6 |                         Item D |                  Description A |                 3477 |                 6065 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4998 |                    5 |                auction_extra10 |
| +I |                   45 |                54771 |                 8500 |                       facebook |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra7 |                         Item B |                  Description B |                 5598 |                 1805 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5834 |                    5 |                 auction_extra4 |
| +I |                   46 |                26140 |                 5461 |                          aPpLe |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra9 |                         Item A |                  Description B |                 6721 |                 6137 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4754 |                   25 |                 auction_extra2 |
| +I |                   47 |                20572 |                 2181 |                       facebook |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra3 |                         Item C |                  Description C |                 6381 |                 2207 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6122 |                   20 |                 auction_extra2 |
| +I |                   48 |                28061 |                 4462 |                          baidu | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra8 |                         Item E |                  Description C |                 3694 |                 5659 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7360 |                   10 |                 auction_extra6 |
| +I |                   49 |                37869 |                 2071 |                          Apple |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                        extra10 |                         Item C |                  Description A |                 4519 |                 3135 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1667 |                   15 |                 auction_extra8 |
| +I |                   50 |                11545 |                 9936 |                          baidu |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra4 |                         Item A |                  Description B |                 6411 |                 5194 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5378 |                   15 |                 auction_extra7 |
| +I |                   51 |                38012 |                 8313 |                          baidu |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra2 |                         Item C |                  Description A |                 5247 |                 3578 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6078 |                   15 |                 auction_extra4 |
| +I |                   52 |                17591 |                 6951 |                       FaceBook |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra6 |                         Item B |                  Description A |                 6955 |                 3628 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5810 |                   20 |                 auction_extra8 |
| +I |                   53 |                91016 |                 2705 |                          Apple |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                        extra10 |                         Item E |                  Description A |                 7618 |                 3396 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6806 |                    5 |                 auction_extra4 |
| +I |                   54 |                56688 |                 5041 |                         google | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra7 |                         Item B |                  Description D |                 7641 |                 3220 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7373 |                   25 |                 auction_extra5 |
| +I |                   55 |                51976 |                 4766 |                       FaceBook |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra3 |                         Item E |                  Description C |                 5212 |                 6178 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4485 |                    5 |                 auction_extra2 |
| +I |                   56 |                88030 |                 1717 |                       FaceBook | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra5 |                         Item D |                  Description E |                 6441 |                 5330 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7321 |                    5 |                 auction_extra6 |
| +I |                   57 |                65376 |                 4198 |                          baidu |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra8 |                         Item B |                  Description C |                 2814 |                 3209 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 3837 |                   20 |                 auction_extra1 |
| +I |                   58 |                91974 |                 2106 |                         google |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra7 |                         Item C |                  Description A |                 7563 |                 4935 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7133 |                   15 |                 auction_extra1 |
| +I |                   59 |                52762 |                 8316 |                          Apple |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra2 |                         Item B |                  Description C |                 6237 |                 1994 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 8387 |                   10 |                 auction_extra6 |
| +I |                   60 |                43941 |                 5412 |                       facebook |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra7 |                         Item C |                  Description E |                 6696 |                 1587 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5022 |                    5 |                 auction_extra8 |
| +I |                   61 |                16596 |                 5126 |                          baidu |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra1 |                         Item C |                  Description E |                 6566 |                 1618 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 8222 |                    5 |                 auction_extra6 |
| +I |                   62 |                58944 |                 4022 |                          aPpLe | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra7 |                         Item E |                  Description A |                 2273 |                 5022 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2998 |                   15 |                 auction_extra8 |
| +I |                   63 |                51775 |                 3239 |                       facebook |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra5 |                         Item B |                  Description A |                 5320 |                 3244 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9829 |                   25 |                 auction_extra8 |
| +I |                   64 |                29781 |                 4406 |                          Apple | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra8 |                         Item A |                  Description D |                 6370 |                 6311 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 3485 |                   15 |                 auction_extra9 |
| +I |                   65 |                88444 |                 1192 |                       FaceBook |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra8 |                         Item C |                  Description C |                 5529 |                 5820 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2000 |                   10 |                 auction_extra5 |
| +I |                   66 |                70251 |                 3669 |                       facebook |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra3 |                         Item C |                  Description D |                 4524 |                 5366 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5367 |                   15 |                 auction_extra3 |
| +I |                   67 |                17081 |                 8594 |                          Apple | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                        extra10 |                         Item A |                  Description E |                 6518 |                 2169 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 8053 |                    5 |                 auction_extra1 |
| +I |                   68 |                76446 |                 8466 |                         google |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra3 |                         Item A |                  Description C |                 3722 |                 2166 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 3968 |                   10 |                 auction_extra1 |
| +I |                   69 |                40084 |                 7228 |                       FaceBook |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra3 |                         Item E |                  Description B |                 7146 |                 2369 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2038 |                   10 |                 auction_extra1 |
| +I |                   70 |                66612 |                 8216 |                       FaceBook |        http://google.com/track | 2025-04-13 01:15:01.000 |                        extra10 |                         Item B |                  Description A |                 3031 |                 2893 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6347 |                    5 |                 auction_extra3 |
| +I |                   71 |                45349 |                 2547 |                          baidu |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra4 |                         Item C |                  Description C |                 5108 |                 3792 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 8816 |                   20 |                 auction_extra5 |
| +I |                   72 |                30297 |                 8111 |                         google |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra3 |                         Item B |                  Description D |                 5772 |                 4004 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2464 |                    5 |                 auction_extra6 |
| +I |                   73 |                84433 |                 3889 |                          aPpLe |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra7 |                         Item A |                  Description A |                 7659 |                 6007 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 3172 |                   15 |                 auction_extra7 |
| +I |                   74 |                74317 |                 8245 |                         google |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra7 |                         Item A |                  Description C |                 6559 |                 6638 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9255 |                   15 |                 auction_extra6 |
| +I |                   75 |                56125 |                 7320 |                          Apple |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra3 |                         Item E |                  Description D |                 5673 |                 3082 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 3150 |                    5 |                 auction_extra2 |
| +I |                   76 |                96766 |                 7183 |                          Apple |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra6 |                         Item A |                  Description E |                 4841 |                 2824 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6832 |                   25 |                 auction_extra4 |
| +I |                   77 |                19433 |                 6262 |                          baidu |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra7 |                         Item B |                  Description A |                 6364 |                 4411 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 8524 |                   15 |                 auction_extra4 |
| +I |                   78 |                12154 |                 3857 |                          Apple | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra8 |                         Item E |                  Description E |                 3749 |                 2088 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4782 |                   10 |                auction_extra10 |
| +I |                   79 |                26702 |                 7247 |                       FaceBook |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra9 |                         Item A |                  Description D |                 5803 |                 3132 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 8845 |                    5 |                 auction_extra7 |
| +I |                   80 |                30662 |                 5065 |                          aPpLe |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra6 |                         Item D |                  Description B |                 2170 |                 3786 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6147 |                    5 |                 auction_extra2 |
| +I |                   81 |                85354 |                 1386 |                          aPpLe |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra6 |                         Item C |                  Description A |                 6402 |                 4240 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7239 |                   15 |                 auction_extra7 |
| +I |                   82 |                72047 |                 9053 |                         google |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra9 |                         Item B |                  Description C |                 3087 |                 6141 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7725 |                   25 |                 auction_extra7 |
| +I |                   83 |                26169 |                 3999 |                       facebook |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra1 |                         Item C |                  Description A |                 5943 |                 3351 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 8585 |                   15 |                 auction_extra9 |
| +I |                   84 |                12361 |                 2073 |                          baidu |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra9 |                         Item C |                  Description C |                 6673 |                 5961 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9852 |                    5 |                 auction_extra1 |
| +I |                   85 |                44674 |                 6439 |                          aPpLe | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra7 |                         Item B |                  Description C |                 3358 |                 1952 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9383 |                   15 |                auction_extra10 |
| +I |                   86 |                96273 |                 2574 |                          Apple |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra6 |                         Item D |                  Description A |                 5779 |                 2359 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6354 |                   20 |                 auction_extra4 |
| +I |                   87 |                15669 |                 6644 |                       FaceBook |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra2 |                         Item B |                  Description D |                 3730 |                 6049 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5405 |                   15 |                 auction_extra6 |
| +I |                   88 |                78976 |                 5842 |                         google |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra1 |                         Item B |                  Description D |                 2102 |                 3920 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1711 |                   15 |                 auction_extra3 |
| +I |                   89 |                27597 |                 6683 |                       FaceBook |        http://google.com/track | 2025-04-13 01:15:01.000 |                        extra10 |                         Item C |                  Description D |                 5062 |                 6102 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2463 |                   25 |                 auction_extra1 |
| +I |                   90 |                97105 |                 9319 |                          aPpLe |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra5 |                         Item D |                  Description A |                 4026 |                 3592 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4497 |                   20 |                 auction_extra9 |
| +I |                   91 |                97822 |                 8326 |                          Apple |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra3 |                         Item B |                  Description A |                 5949 |                 6027 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9343 |                    5 |                 auction_extra8 |
| +I |                   92 |                23590 |                 6086 |                       FaceBook |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra5 |                         Item C |                  Description D |                 2432 |                 2752 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6730 |                    5 |                 auction_extra4 |
| +I |                   93 |                85754 |                 4167 |                          baidu |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra7 |                         Item C |                  Description A |                 6713 |                 4893 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4229 |                    5 |                 auction_extra7 |
| +I |                   94 |                72803 |                 8471 |                          aPpLe | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra5 |                         Item D |                  Description D |                 3415 |                 6182 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5588 |                   25 |                 auction_extra1 |
| +I |                   95 |                69722 |                 8140 |                          Apple |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra6 |                         Item C |                  Description A |                 6395 |                 5740 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5684 |                   20 |                 auction_extra2 |
| +I |                   96 |                25910 |                 4402 |                          aPpLe |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                        extra10 |                         Item E |                  Description B |                 2195 |                 2727 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9269 |                   10 |                 auction_extra2 |
